"retention","vtkValidPointMask","arc_length","Points:0","Points:1","Points:2"
1.8059e+22,1,0.002704,0.002704,0.066032,0
1.806e+22,1,0.002708,0.002708,0.066032,0
1.8061e+22,1,0.002712,0.002712,0.066032,0
1.8062e+22,1,0.002716,0.002716,0.066032,0
1.8063e+22,1,0.00272,0.00272,0.066032,0
1.8064e+22,1,0.002724,0.002724,0.066032,0
1.8065e+22,1,0.002728,0.002728,0.066032,0
1.8067e+22,1,0.002732,0.002732,0.066032,0
1.8068e+22,1,0.002736,0.002736,0.066032,0
1.8069e+22,1,0.00274,0.00274,0.066032,0
1.807e+22,1,0.002744,0.002744,0.066032,0
1.8071e+22,1,0.002748,0.002748,0.066032,0
1.8072e+22,1,0.002752,0.002752,0.066032,0
1.8073e+22,1,0.002756,0.002756,0.066032,0
1.8074e+22,1,0.00276,0.00276,0.066032,0
1.8075e+22,1,0.002764,0.002764,0.066032,0
1.8076e+22,1,0.002768,0.002768,0.066032,0
1.8077e+22,1,0.002772,0.002772,0.066032,0
1.8078e+22,1,0.002776,0.002776,0.066032,0
1.8079e+22,1,0.00278,0.00278,0.066032,0
1.808e+22,1,0.002784,0.002784,0.066032,0
1.8082e+22,1,0.002788,0.002788,0.066032,0
1.8083e+22,1,0.002792,0.002792,0.066032,0
1.8084e+22,1,0.002796,0.002796,0.066032,0
1.8085e+22,1,0.0028,0.0028,0.066032,0
1.8086e+22,1,0.002804,0.002804,0.066032,0
1.8088e+22,1,0.002808,0.002808,0.066032,0
1.8089e+22,1,0.002812,0.002812,0.066032,0
1.809e+22,1,0.002816,0.002816,0.066032,0
1.8091e+22,1,0.00282,0.00282,0.066032,0
1.8093e+22,1,0.002824,0.002824,0.066032,0
1.8094e+22,1,0.002828,0.002828,0.066032,0
1.8095e+22,1,0.002832,0.002832,0.066032,0
1.8096e+22,1,0.002836,0.002836,0.066032,0
1.8097e+22,1,0.00284,0.00284,0.066032,0
1.8099e+22,1,0.002844,0.002844,0.066032,0
1.81e+22,1,0.002848,0.002848,0.066032,0
1.8101e+22,1,0.002852,0.002852,0.066032,0
1.8102e+22,1,0.002856,0.002856,0.066032,0
1.8103e+22,1,0.00286,0.00286,0.066032,0
1.8104e+22,1,0.002864,0.002864,0.066032,0
1.8106e+22,1,0.002868,0.002868,0.066032,0
1.8107e+22,1,0.002872,0.002872,0.066032,0
1.8108e+22,1,0.002876,0.002876,0.066032,0
1.8109e+22,1,0.00288,0.00288,0.066032,0
1.811e+22,1,0.002884,0.002884,0.066032,0
1.8112e+22,1,0.002888,0.002888,0.066032,0
1.8113e+22,1,0.002892,0.002892,0.066032,0
1.8114e+22,1,0.002896,0.002896,0.066032,0
1.8115e+22,1,0.0029,0.0029,0.066032,0
1.8116e+22,1,0.002904,0.002904,0.066032,0
1.8117e+22,1,0.002908,0.002908,0.066032,0
1.8119e+22,1,0.002912,0.002912,0.066032,0
1.812e+22,1,0.002916,0.002916,0.066032,0
1.8121e+22,1,0.00292,0.00292,0.066032,0
1.8123e+22,1,0.002924,0.002924,0.066032,0
1.8124e+22,1,0.002928,0.002928,0.066032,0
1.8125e+22,1,0.002932,0.002932,0.066032,0
1.8127e+22,1,0.002936,0.002936,0.066032,0
1.8128e+22,1,0.00294,0.00294,0.066032,0
1.8129e+22,1,0.002944,0.002944,0.066032,0
1.8131e+22,1,0.002948,0.002948,0.066032,0
1.8132e+22,1,0.002952,0.002952,0.066032,0
1.8133e+22,1,0.002956,0.002956,0.066032,0
1.8135e+22,1,0.00296,0.00296,0.066032,0
1.8136e+22,1,0.002964,0.002964,0.066032,0
1.8137e+22,1,0.002968,0.002968,0.066032,0
1.8139e+22,1,0.002972,0.002972,0.066032,0
